Sticker ID,Player Name,Quantity
00,WE ARE PANINI,1
FWC1,FWC 1,1
FWC2,FWC 2,1
FWC3,FWC 3,0
FWC4,FWC 4,1
FWC5,FWC 5,1
FWC6,FWC 6,3
FWC7,FWC 7,0
FWC8,FWC 8,1
MEX01,MEXICO NATIONAL TEAM,0
MEX02,LUIS MALAGÓN,1
MEX03,JOHAN VÁSQUEZ,1
MEX04,JORGE SÁNCHEZ,2
MEX05,CÉSAR MONTES,0
MEX06,JESÚS GALLARDO,1
MEX07,ISRAEL REYES,2
MEX08,DIEGO LAINEZ,1
MEX09,CARLOS RODRÍGUEZ,0
MEX10,EDSON ÁLVAREZ,1
MEX11,ORBELÍN PINEDA,1
MEX12,MARCEL RUÍZ,0
MEX13,MEXICO NATIONAL TEAM,1
MEX14,ERICK SÁNCHEZ,1
MEX15,HIRVING LOZANO,1
MEX16,SANTIAGO GIMÉNEZ,0
MEX17,RAÚL JIMÉNEZ,2
MEX18,ALEXIS VEGA,1
MEX19,ROBERTO ALVARADO,1
MEX20,CÉSAR HUERTA,1
RSA01,SOUTHAFRICA NATIONAL TEAM,2
RSA02,RONWEN WILLIAMS,2
RSA03,SIPHO CHAINE,1
RSA04,AUBREY MODIBA,0
RSA05,SAMUKELE KABINI,2
RSA06,MBEKEZLI MBOKAZI,0
RSA07,KHULUMANI NDAMANE,1
RSA08,SIVABONGA NGEZANA,3
RSA09,KHULISO MUDAU,1
RSA10,NKOSINATHI SIBISI,0
RSA11,TEBOHO MOKOENA,1
RSA12,THALENTE MBATHA,0
RSA13,SOUTHAFRICA NATIONAL TEAM,2
RSA14,BATHUSI AUBAAS,0
RSA15,VAYA SITHOLE,1
RSA16,SIPHO MBULE,1
RSA17,LYLE FOSTER,2
RSA18,IORAAM RAVNERS,1
RSA19,MOHAU NKOTA,2
RSA20,OSWIN APOLLIS,1
KOR01,SOUTH KOREA NATIONAL TEAM,2
KOR02,HYEONWOO JO,1
KOR03,SEUNGGYU KIM,2
KOR04,MIJNAE KIM,1
KOR05,YUMIN CHO,0
KOR06,YOUNGWOO SEOL,1
KOR07,HANBEOM LEE,1
KOR08,TAESEOK LEE,1
KOR09,MUYNGJAE LEE,1
KOR10,JAESUNG LEE,3
KOR11,INBEOM HWANG,1
KOR12,KANGIN LEE,2
KOR13,SOUTH KOREA NATIONAL TEAM,1
KOR14,SEUNGHO PAIK,1
KOR15,JENS CASTROP,2
KOR16,DONGGYEONG LEE,1
KOR17,GUESUNG CHO,2
KOR18,HEUNGMIN SON,1
KOR19,HEECHAN HWANG,1
KOR20,HYEONGYU OH,2
CZE01,CZECHIA NATIONAL TEAM,2
CZE02,MATEJ KOVAR,1
CZE03,JINDRICH STANEK,1
CZE04,LADISLAV KREJCI,1
CZE05,VLADIMIR COUFAL,1
CZE06,JAROSLAV ZELENY,1
CZE07,TOMAS HOLES,0
CZE08,DAVID ZIMA,1
CZE09,MICHAL SADILEK,0
CZE10,LUKAS PROVOD,1
CZE11,LUKAS CERV,1
CZE12,TOMAS SOUCEK,1
CZE13,CZECHIA NATIONAL TEAM,1
CZE14,PAVEL SULC,1
CZE15,MATEJ VYDRA,1
CZE16,VASIL KUSEJ,1
CZE17,TOMAS CHORY,1
CZE18,VACLAV CHERNY,0
CZE19,ADAM HLOZEK,1
